"gender_in_health_ed_1","gender_in_health_ed_2","gender_in_health_ed_3","gender_in_health_ed_4","gender_in_health_ed_5","gender_in_health_ed_6","gender_in_health_ed_7","gender_in_health_ed_8","gender_in_health_ed_9","gender_in_health_ed_10","gender_in_health_ed_5r","gender_in_health_ed_8r","gender_in_health_ed_10r","shed_exc","shed_vic","shed_mis","shed_dis"
5,6,3,3,2,6,5,2,2,4,6,6,4,5.75,2.66666666666667,5.5,4
6,7,2,3,1,7,2,1,1,1,7,7,7,6.75,2,4.5,7
7,7,2,2,1,7,4,2,4,5,7,6,3,6.75,2.66666666666667,5.5,3
7,7,2,2,1,6,6,1,1,3,7,7,5,7,1.66666666666667,6,5
6,6,4,4,2,6,6,1,4,3,6,7,5,6.25,4,6,5
6,6,1,1,5,7,2,1,1,5,3,7,3,5.5,1,4.5,3
7,7,4,4,1,7,4,1,5,1,7,7,7,7,4.33333333333333,5.5,7
7,7,5,6,2,7,7,1,7,2,6,7,6,6.75,6,7,6
7,7,6,7,1,7,7,1,7,1,7,7,7,7,6.66666666666667,7,7
7,7,7,7,1,7,1,1,7,1,7,7,7,7,7,4,7
6,5,4,7,2,4,4,2,5,5,6,6,3,5.75,5.33333333333333,4,3
7,7,5,5,1,7,7,1,6,2,7,7,6,7,5.33333333333333,7,6
5,5,2,2,5,4,2,1,2,4,3,7,4,5,2,3,4
7,7,4,4,1,7,7,1,6,1,7,7,7,7,4.66666666666667,7,7
6,5,6,4,6,4,3,2,7,2,2,6,6,4.75,5.66666666666667,3.5,6
6,7,1,1,4,2,2,2,1,5,4,6,3,5.75,1,2,3
6,6,3,2,1,7,4,1,2,2,7,7,6,6.5,2.33333333333333,5.5,6
5,7,4,6,5,7,4,6,5,7,3,2,1,4.25,5,5.5,1
4,4,5,4,4,5,4,5,2,4,4,3,4,3.75,3.66666666666667,4.5,4
7,7,4,4,1,7,7,1,4,1,7,7,7,7,4,7,7
7,7,3,1,1,7,4,1,7,4,7,7,4,7,3.66666666666667,5.5,4
7,7,5,5,1,7,5,1,5,2,7,7,6,7,5,6,6
7,7,6,6,2,6,6,1,5,2,6,7,6,6.75,5.66666666666667,6,6
6,6,2,2,2,2,2,2,6,2,6,6,6,6,3.33333333333333,2,6
7,7,2,1,1,7,4,1,4,1,7,7,7,7,2.33333333333333,5.5,7
7,7,4,2,1,7,7,1,1,4,7,7,4,7,2.33333333333333,7,4
7,7,1,1,1,7,7,1,1,5,7,7,3,7,1,7,3
